,State,Adopted Over Waiting for Adoption 2010,Parental Rights Terminated Over Waiting For Adoption 2010,Adopted Over Waiting for Adoption 2011,Parental Rights Terminated Over Waiting For Adoption 2011,Adopted Over Waiting for Adoption 2012,Parental Rights Terminated Over Waiting For Adoption 2012,Adopted Over Waiting for Adoption 2013,Parental Rights Terminated Over Waiting For Adoption 2013,Adopted Over Waiting for Adoption 2014,Parental Rights Terminated Over Waiting For Adoption 2014,Adopted Over Waiting for Adoption 2015,Parental Rights Terminated Over Waiting For Adoption 2015,Adopted Over Waiting for Adoption 2016,Parental Rights Terminated Over Waiting For Adoption 2016,Adopted Over Waiting for Adoption 2017,Parental Rights Terminated Over Waiting For Adoption 2017,Adopted Over Waiting for Adoption 2018,Parental Rights Terminated Over Waiting For Adoption 2018,Adopted Over Waiting for Adoption 2019,Parental Rights Terminated Over Waiting For Adoption 2019
10,Georgia,0.7076923076923077,0.4863905325443787,0.6834716017868538,0.5322271857051691,0.5552184466019418,0.5388349514563107,0.5730961645358532,0.4519177320733741,0.44730206757438223,0.5905194150277358,0.3584905660377358,0.41509433962264153,0.3739159439626418,0.3338892595063376,0.4115746180963572,0.5511163337250293,0.40434902284613267,0.5229837599779796,0.4826388888888889,0.5868055555555556
11,Hawaii,0.6153846153846154,0.8888888888888888,0.668918918918919,0.902027027027027,0.8385650224215246,0.8789237668161435,1.0389610389610389,0.8896103896103896,0.6470588235294118,0.93048128342246,1.2394366197183098,0.8380281690140845,0.7288135593220338,0.847457627118644,0.6153846153846154,0.9554655870445344,0.6517241379310345,0.9517241379310345,0.7410071942446043,0.960431654676259
12,Idaho,0.8046272493573264,0.7634961439588689,0.7754491017964071,0.7844311377245509,0.9820143884892086,0.6690647482014388,0.6280487804878049,0.6554878048780488,0.6770186335403726,0.6583850931677019,0.7012578616352201,0.6792452830188679,0.47435897435897434,0.7,0.8989547038327527,0.9372822299651568,0.4605263157894737,0.6484962406015038,0.5888689407540395,0.6068222621184919
13,Illinois,0.41110734845919406,0.8841855739925499,0.3862265947318312,0.6229768327515075,0.6409527195165304,0.6004265908282972,0.4538152610441767,0.5910307898259706,0.5566655184292112,0.5642438856355494,0.6372059871703493,0.5890947968638631,0.5212407282535402,0.8503034389750506,0.6239466292134831,0.8669241573033708,0.6472324723247233,0.8457564575645756,0.6313697144922299,0.8005059631369714
14,Indiana,0.4567669172932331,0.6203007518796992,0.5391545391545391,0.4840609840609841,0.6988984088127295,0.42962056303549573,0.39433729995896594,0.3980303652031186,0.3112413035518125,0.37458806298059316,0.3885328836424958,0.41349072512647556,0.407103100980652,0.3172541743970315,0.44454504300588504,0.2888184698958805,0.42193386354123064,0.3292172457095019,0.5785681078568108,0.37331473733147374
15,Iowa,0.75,0.7602996254681648,0.7941176470588235,0.7913602941176471,1.0738813735691988,0.8033298647242456,0.9512448132780082,0.758298755186722,0.8361904761904762,0.7542857142857143,1.0029585798816567,0.7238658777120316,0.8928892889288929,0.7533753375337534,0.8847845206684257,0.7590149516270889,0.8905472636815921,0.7661691542288557,0.9042709867452136,0.7452135493372607
16,Kansas,0.3802739726027397,0.7073972602739727,0.4298293891029169,0.6962025316455697,0.4123043712898003,0.6432811656772801,0.3657080846446012,0.6565382528486163,0.3284499054820416,0.5751417769376181,0.3346153846153846,0.5495726495726496,0.3637123745819398,0.6191471571906354,0.26093689508323653,0.6453735965931088,0.3577981651376147,0.6922782874617737,0.5164141414141414,0.7133838383838383
17,Kentucky,0.38646847770374165,0.6314710404920554,0.42961418143899893,0.5709071949947863,0.3921960980490245,0.5867933966983492,0.358363309352518,0.5301258992805755,0.3756198347107438,0.5136363636363637,0.3726250484683986,0.5579682047305157,0.42363775901765155,0.5590943975441289,0.41855287569573285,0.6178107606679035,0.39661256175017645,0.5624558927311221,0.434010152284264,0.6164340101522843
18,Louisiana,0.5875343721356554,0.6663611365719523,0.5516351118760757,0.6962134251290878,0.6014692378328742,0.6189164370982553,0.7606659729448492,0.5764828303850156,0.6021297192642788,0.57405614714424,0.5426229508196722,0.4459016393442623,0.5605242868157286,0.4448727833461835,0.555878084179971,0.49201741654571846,0.6487455197132617,0.47956989247311826,0.6694091249065071,0.4779356768885565
19,Maine,0.48,0.8521739130434782,0.5792563600782779,0.8786692759295499,0.60625,0.8416666666666667,0.37943262411347517,0.8882978723404256,0.5,0.864406779661017,0.4924924924924925,0.8513513513513513,0.616692426584235,0.8593508500772797,0.7916666666666666,0.8715277777777778,0.8195020746887967,0.8879668049792531,0.5764705882352941,0.807843137254902
