State,Waiting for Adoption 2010,Waiting for Adoption 2011,Waiting for Adoption 2012,Waiting for Adoption 2013,Waiting for Adoption 2014,Waiting for Adoption 2015,Waiting for Adoption 2016,Waiting for Adoption 2017,Waiting for Adoption 2018,Waiting for Adoption 2019,Parental Rights Terminated 2010,Parental Rights Terminated 2011,Parental Rights Terminated 2012,Parental Rights Terminated 2013,Parental Rights Terminated 2014,Parental Rights Terminated 2015,Parental Rights Terminated 2016,Parental Rights Terminated 2017,Parental Rights Terminated 2018,Parental Rights Terminated 2019,Adopted 2010,Adopted 2011,Adopted 2012,Adopted 2013,Adopted 2014,Adopted 2015,Adopted 2016,Adopted 2017,Adopted 2018,Adopted 2019,Served 2010,Served 2011,Served 2012,Served 2013,Served 2014,Served 2015,Served 2016,Served 2017,Served 2018,Served 2019,STATEFP20,Adopted Over Waiting for Adoption 2010,Parental Rights Terminated Over Waiting For Adoption 2010,Adopted Over Waiting for Adoption 2011,Parental Rights Terminated Over Waiting For Adoption 2011,Adopted Over Waiting for Adoption 2012,Parental Rights Terminated Over Waiting For Adoption 2012,Adopted Over Waiting for Adoption 2013,Parental Rights Terminated Over Waiting For Adoption 2013,Adopted Over Waiting for Adoption 2014,Parental Rights Terminated Over Waiting For Adoption 2014,Adopted Over Waiting for Adoption 2015,Parental Rights Terminated Over Waiting For Adoption 2015,Adopted Over Waiting for Adoption 2016,Parental Rights Terminated Over Waiting For Adoption 2016,Adopted Over Waiting for Adoption 2017,Parental Rights Terminated Over Waiting For Adoption 2017,Adopted Over Waiting for Adoption 2018,Parental Rights Terminated Over Waiting For Adoption 2018,Adopted Over Waiting for Adoption 2019,Parental Rights Terminated Over Waiting For Adoption 2019,"Maternal Deaths Per 100,000 Births",Abortion Overview,Score,Grade
Maryland,883,772,559,498,464,508,468,481,385,370,236,238,164,145,129,151,162,159,147,142,644,539,455,355,344,294,361,348,353,291,9747,8627,7931,7061,6429,6045,6017,6119,6210,5789,24,0.7293318233295584,0.26727066817667045,0.6981865284974094,0.3082901554404145,0.813953488372093,0.2933810375670841,0.7128514056224899,0.29116465863453816,0.7413793103448276,0.27801724137931033,0.5787401574803149,0.29724409448818895,0.7713675213675214,0.3461538461538461,0.7234927234927235,0.3305613305613306,0.9168831168831169,0.3818181818181817,0.7864864864864864,0.3837837837837838,19.7,protected,10.0,F
Massachusetts,2758,2675,2469,2492,2771,3051,3481,3656,3382,3646,1518,1495,1329,1126,1178,1219,1251,1427,1671,1722,725,724,754,799,589,623,669,657,826,998,14919,14083,13640,13652,15002,15947,16679,16752,16457,15801,25,0.2628716461203771,0.5503988397389412,0.27065420560747666,0.5588785046728972,0.30538679627379506,0.5382746051032807,0.32062600321027285,0.4518459069020867,0.2125586430891375,0.42511728617827504,0.20419534578826612,0.3995411340544084,0.1921861534041942,0.35937948865268604,0.17970459518599566,0.3903172866520788,0.24423418095801303,0.4940863394441159,0.2737246297312123,0.4722984092155787,8.4,neither,65.0,C+
Michigan,5235,4237,3586,3337,3457,3408,3416,3646,3898,3818,4317,3613,3131,2819,3058,3119,3083,3220,3389,3374,2597,2506,2559,2374,2184,1772,2078,1970,1991,2161,25710,23587,22388,22261,21176,19402,18194,18230,18105,17840,26,0.4960840496657116,0.8246418338108883,0.5914562190228936,0.8527259853670051,0.7136084774121584,0.8731176798661461,0.7114174408151034,0.8447707521726101,0.631761643043101,0.8845820075209719,0.5199530516431925,0.915199530516432,0.6083138173302107,0.9025175644028104,0.5403181568842568,0.8831596269884805,0.5107747562852745,0.8694202154951257,0.5660031430068099,0.8837087480356207,19.4,significantly restricted,20.0,D-
Minnesota,1074,1143,1191,1219,1188,1285,1541,1990,2026,1951,1003,961,1008,1110,1126,1225,1457,1848,1852,1812,627,572,520,583,642,735,899,946,1284,1347,10782,10711,10729,11114,11564,12961,14581,15876,16042,15014,27,0.5837988826815642,0.9338919925512104,0.5004374453193351,0.8407699037620298,0.436607892527288,0.8463476070528967,0.4782608695652174,0.9105824446267432,0.5404040404040404,0.9478114478114478,0.5719844357976653,0.953307392996109,0.5833874107722258,0.945489941596366,0.4753768844221106,0.928643216080402,0.6337611056268511,0.914116485686081,0.690415171706817,0.9287544848795488,11.8,neither,70.0,B-
Mississippi,843,880,955,1000,1184,1437,1553,1867,1730,1610,451,459,388,353,356,412,445,154,103,519,355,358,425,352,314,312,400,364,431,719,5887,5955,5999,6119,6766,7371,8396,8330,7882,7039,28,0.4211150652431791,0.5349940688018979,0.4068181818181818,0.5215909090909091,0.4450261780104712,0.40628272251308895,0.35200000000000004,0.353,0.2652027027027027,0.3006756756756757,0.2171189979123173,0.2867084203201113,0.25756600128782997,0.2865421764327109,0.19496518478843064,0.08248527048741296,0.2491329479768786,0.059537572254335265,0.446583850931677,0.32236024844720496,20.8,significantly restricted,10.0,F
Missouri,1992,2056,2067,2162,2325,2513,2584,2825,2783,2745,1008,976,854,862,764,698,764,840,864,895,1170,1212,1228,1233,1291,1357,1591,1541,1798,1820,13744,14639,15460,16191,17760,18678,19332,19030,19218,19327,29,0.5873493975903614,0.5060240963855421,0.5894941634241245,0.4747081712062257,0.5940977261731979,0.413159167876149,0.5703052728954672,0.3987049028677151,0.5552688172043011,0.3286021505376344,0.5399920413847991,0.2777556705133307,0.6157120743034056,0.29566563467492263,0.5454867256637168,0.2973451327433628,0.6460653970535394,0.31045634207689543,0.663023679417122,0.3260473588342441,34.6,significantly restricted,10.0,F
Montana,495,460,403,498,587,580,633,831,977,1018,350,314,292,369,447,385,439,556,687,672,191,238,225,165,234,310,260,274,396,482,2614,2771,3066,3397,3602,4232,4924,5682,6098,6050,30,0.38585858585858585,0.7070707070707071,0.5173913043478261,0.6826086956521739,0.5583126550868487,0.7245657568238213,0.3313253012048193,0.7409638554216867,0.3986371379897785,0.7614991482112436,0.5344827586206896,0.6637931034482759,0.4107424960505529,0.693522906793049,0.3297232250300842,0.6690734055354994,0.4053224155578301,0.7031729785056294,0.4734774066797642,0.6601178781925344,21.0,neither,35.0,C-
Nebraska,768,831,904,705,692,709,715,771,817,689,460,486,555,407,463,455,463,451,497,453,437,413,417,586,461,533,483,546,564,560,8552,8362,8055,7749,6339,5956,6186,6564,5962,5643,31,0.5690104166666666,0.5989583333333334,0.4969915764139591,0.5848375451263538,0.46128318584070793,0.6139380530973452,0.8312056737588652,0.5773049645390071,0.6661849710982659,0.6690751445086706,0.7517630465444288,0.6417489421720733,0.6755244755244755,0.6475524475524476,0.7081712062256809,0.5849546044098574,0.6903304773561811,0.6083231334149327,0.8127721335268505,0.6574746008708273,18.2,neither,10.0,F
Nevada,2094,1970,1880,1957,2067,1999,1619,1672,1664,1667,1087,938,859,721,691,695,692,756,779,885,644,821,776,729,729,799,796,740,760,805,7635,7525,7705,8029,7793,7634,7822,7553,7497,7722,32,0.3075453677172875,0.5191021967526266,0.416751269035533,0.4761421319796954,0.4127659574468085,0.4569148936170213,0.37250894225855896,0.3684210526315789,0.35268505079825835,0.3343009192065796,0.3996998499249625,0.3476738369184592,0.4916615194564546,0.42742433600988267,0.44258373205741625,0.4521531100478469,0.4567307692307692,0.4681490384615384,0.4829034193161368,0.5308938212357528,8.4,protected,10.0,F
New Hampshire,227,167,182,189,167,177,168,214,270,253,64,25,21,21,40,76,78,109,180,125,173,144,96,110,120,118,87,108,211,278,1368,1216,1166,1282,1465,1597,1810,2039,2140,2111,33,0.7621145374449341,0.28193832599118945,0.8622754491017964,0.1497005988023952,0.5274725274725275,0.1153846153846154,0.582010582010582,0.1111111111111111,0.7185628742514971,0.23952095808383236,0.6666666666666666,0.4293785310734463,0.5178571428571429,0.4642857142857143,0.5046728971962616,0.5093457943925234,0.7814814814814814,0.6666666666666666,1.098814229249012,0.4940711462450593,,,,
